年份,年龄组,人数_万人,情景,备注
2056,35-44,106.75,中,结构漂移[假设]；总量级贴近香港老龄化路径
2056,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2056,55-64,112.72,中,结构漂移[假设]；总量级贴近香港老龄化路径
2056,65+,256.17,中,结构漂移[假设]；总量级贴近香港老龄化路径
2026,15-24,66.3,高,结构漂移[假设]；总量级贴近香港老龄化路径
2026,25-34,96.9,高,结构漂移[假设]；总量级贴近香港老龄化路径
2026,35-44,112.2,高,结构漂移[假设]；总量级贴近香港老龄化路径
2026,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2026,55-64,102.0,高,结构漂移[假设]；总量级贴近香港老龄化路径
2026,65+,153.0,高,结构漂移[假设]；总量级贴近香港老龄化路径
2027,15-24,66.09,高,结构漂移[假设]；总量级贴近香港老龄化路径
2027,25-34,96.74,高,结构漂移[假设]；总量级贴近香港老龄化路径
2027,35-44,112.09,高,结构漂移[假设]；总量级贴近香港老龄化路径
2027,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2027,55-64,102.41,高,结构漂移[假设]；总量级贴近香港老龄化路径
2027,65+,156.3,高,结构漂移[假设]；总量级贴近香港老龄化路径
2028,15-24,65.88,高,结构漂移[假设]；总量级贴近香港老龄化路径
2028,25-34,96.59,高,结构漂移[假设]；总量级贴近香港老龄化路径
2028,35-44,111.98,高,结构漂移[假设]；总量级贴近香港老龄化路径
2028,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2028,55-64,102.82,高,结构漂移[假设]；总量级贴近香港老龄化路径
2028,65+,159.68,高,结构漂移[假设]；总量级贴近香港老龄化路径
2029,15-24,65.67,高,结构漂移[假设]；总量级贴近香港老龄化路径
2029,25-34,96.44,高,结构漂移[假设]；总量级贴近香港老龄化路径
2029,35-44,111.86,高,结构漂移[假设]；总量级贴近香港老龄化路径
2029,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2029,55-64,103.23,高,结构漂移[假设]；总量级贴近香港老龄化路径
2029,65+,163.13,高,结构漂移[假设]；总量级贴近香港老龄化路径
2030,15-24,65.46,高,结构漂移[假设]；总量级贴近香港老龄化路径
2030,25-34,96.28,高,结构漂移[假设]；总量级贴近香港老龄化路径
2030,35-44,111.75,高,结构漂移[假设]；总量级贴近香港老龄化路径
2030,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2030,55-64,103.64,高,结构漂移[假设]；总量级贴近香港老龄化路径
2030,65+,166.65,高,结构漂移[假设]；总量级贴近香港老龄化路径
2031,15-24,65.25,高,结构漂移[假设]；总量级贴近香港老龄化路径
2031,25-34,96.13,高,结构漂移[假设]；总量级贴近香港老龄化路径
2031,35-44,111.64,高,结构漂移[假设]；总量级贴近香港老龄化路径
2031,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2031,55-64,104.06,高,结构漂移[假设]；总量级贴近香港老龄化路径
2031,65+,170.25,高,结构漂移[假设]；总量级贴近香港老龄化路径
2032,15-24,65.04,高,结构漂移[假设]；总量级贴近香港老龄化路径
2032,25-34,95.97,高,结构漂移[假设]；总量级贴近香港老龄化路径
2032,35-44,111.53,高,结构漂移[假设]；总量级贴近香港老龄化路径
2032,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2032,55-64,104.47,高,结构漂移[假设]；总量级贴近香港老龄化路径
2032,65+,173.93,高,结构漂移[假设]；总量级贴近香港老龄化路径
2033,15-24,64.83,高,结构漂移[假设]；总量级贴近香港老龄化路径
2033,25-34,95.82,高,结构漂移[假设]；总量级贴近香港老龄化路径
2033,35-44,111.42,高,结构漂移[假设]；总量级贴近香港老龄化路径
2033,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2033,55-64,104.89,高,结构漂移[假设]；总量级贴近香港老龄化路径
2033,65+,177.69,高,结构漂移[假设]；总量级贴近香港老龄化路径
2034,15-24,64.62,高,结构漂移[假设]；总量级贴近香港老龄化路径
2034,25-34,95.67,高,结构漂移[假设]；总量级贴近香港老龄化路径
2034,35-44,111.31,高,结构漂移[假设]；总量级贴近香港老龄化路径
2034,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2034,55-64,105.31,高,结构漂移[假设]；总量级贴近香港老龄化路径
2034,65+,181.53,高,结构漂移[假设]；总量级贴近香港老龄化路径
2035,15-24,64.41,高,结构漂移[假设]；总量级贴近香港老龄化路径
2035,25-34,95.51,高,结构漂移[假设]；总量级贴近香港老龄化路径
2035,35-44,111.19,高,结构漂移[假设]；总量级贴近香港老龄化路径
2035,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2035,55-64,105.73,高,结构漂移[假设]；总量级贴近香港老龄化路径
2035,65+,185.45,高,结构漂移[假设]；总量级贴近香港老龄化路径
2036,15-24,64.21,高,结构漂移[假设]；总量级贴近香港老龄化路径
2036,25-34,95.36,高,结构漂移[假设]；总量级贴近香港老龄化路径
2036,35-44,111.08,高,结构漂移[假设]；总量级贴近香港老龄化路径
2036,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2036,55-64,106.15,高,结构漂移[假设]；总量级贴近香港老龄化路径
2036,65+,189.45,高,结构漂移[假设]；总量级贴近香港老龄化路径
2037,15-24,64.0,高,结构漂移[假设]；总量级贴近香港老龄化路径
2037,25-34,95.21,高,结构漂移[假设]；总量级贴近香港老龄化路径
2037,35-44,110.97,高,结构漂移[假设]；总量级贴近香港老龄化路径
2037,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2037,55-64,106.58,高,结构漂移[假设]；总量级贴近香港老龄化路径
2037,65+,193.54,高,结构漂移[假设]；总量级贴近香港老龄化路径
2038,15-24,63.8,高,结构漂移[假设]；总量级贴近香港老龄化路径
2038,25-34,95.06,高,结构漂移[假设]；总量级贴近香港老龄化路径
2038,35-44,110.86,高,结构漂移[假设]；总量级贴近香港老龄化路径
2038,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2038,55-64,107.01,高,结构漂移[假设]；总量级贴近香港老龄化路径
2038,65+,197.73,高,结构漂移[假设]；总量级贴近香港老龄化路径
2039,15-24,63.59,高,结构漂移[假设]；总量级贴近香港老龄化路径
2039,25-34,94.9,高,结构漂移[假设]；总量级贴近香港老龄化路径
2039,35-44,110.75,高,结构漂移[假设]；总量级贴近香港老龄化路径
2039,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2039,55-64,107.43,高,结构漂移[假设]；总量级贴近香港老龄化路径
2039,65+,202.0,高,结构漂移[假设]；总量级贴近香港老龄化路径
2040,15-24,63.39,高,结构漂移[假设]；总量级贴近香港老龄化路径
2040,25-34,94.75,高,结构漂移[假设]；总量级贴近香港老龄化路径
2040,35-44,110.64,高,结构漂移[假设]；总量级贴近香港老龄化路径
2040,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2040,55-64,107.86,高,结构漂移[假设]；总量级贴近香港老龄化路径
2040,65+,206.36,高,结构漂移[假设]；总量级贴近香港老龄化路径
2041,15-24,63.19,高,结构漂移[假设]；总量级贴近香港老龄化路径
2041,25-34,94.6,高,结构漂移[假设]；总量级贴近香港老龄化路径
2041,35-44,110.53,高,结构漂移[假设]；总量级贴近香港老龄化路径
2041,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2041,55-64,108.29,高,结构漂移[假设]；总量级贴近香港老龄化路径
2041,65+,210.82,高,结构漂移[假设]；总量级贴近香港老龄化路径
2042,15-24,62.99,高,结构漂移[假设]；总量级贴近香港老龄化路径
2042,25-34,94.45,高,结构漂移[假设]；总量级贴近香港老龄化路径
2042,35-44,110.42,高,结构漂移[假设]；总量级贴近香港老龄化路径
2042,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2042,55-64,108.73,高,结构漂移[假设]；总量级贴近香港老龄化路径
2042,65+,215.37,高,结构漂移[假设]；总量级贴近香港老龄化路径
2043,15-24,62.78,高,结构漂移[假设]；总量级贴近香港老龄化路径
2043,25-34,94.3,高,结构漂移[假设]；总量级贴近香港老龄化路径
2043,35-44,110.31,高,结构漂移[假设]；总量级贴近香港老龄化路径
2043,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2043,55-64,109.16,高,结构漂移[假设]；总量级贴近香港老龄化路径
2043,65+,220.02,高,结构漂移[假设]；总量级贴近香港老龄化路径
2044,15-24,62.58,高,结构漂移[假设]；总量级贴近香港老龄化路径
2044,25-34,94.15,高,结构漂移[假设]；总量级贴近香港老龄化路径
2044,35-44,110.2,高,结构漂移[假设]；总量级贴近香港老龄化路径
2044,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2044,55-64,109.6,高,结构漂移[假设]；总量级贴近香港老龄化路径
2044,65+,224.77,高,结构漂移[假设]；总量级贴近香港老龄化路径
2045,15-24,62.38,高,结构漂移[假设]；总量级贴近香港老龄化路径
2045,25-34,94.0,高,结构漂移[假设]；总量级贴近香港老龄化路径
2045,35-44,110.09,高,结构漂移[假设]；总量级贴近香港老龄化路径
2045,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2045,55-64,110.04,高,结构漂移[假设]；总量级贴近香港老龄化路径
2045,65+,229.63,高,结构漂移[假设]；总量级贴近香港老龄化路径
2046,15-24,62.18,高,结构漂移[假设]；总量级贴近香港老龄化路径
2046,25-34,93.85,高,结构漂移[假设]；总量级贴近香港老龄化路径
2046,35-44,109.98,高,结构漂移[假设]；总量级贴近香港老龄化路径
2046,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2046,55-64,110.48,高,结构漂移[假设]；总量级贴近香港老龄化路径
2046,65+,234.59,高,结构漂移[假设]；总量级贴近香港老龄化路径
2047,15-24,61.98,高,结构漂移[假设]；总量级贴近香港老龄化路径
2047,25-34,93.7,高,结构漂移[假设]；总量级贴近香港老龄化路径
2047,35-44,109.87,高,结构漂移[假设]；总量级贴近香港老龄化路径
2047,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2047,55-64,110.92,高,结构漂移[假设]；总量级贴近香港老龄化路径
2047,65+,239.66,高,结构漂移[假设]；总量级贴近香港老龄化路径
2048,15-24,61.79,高,结构漂移[假设]；总量级贴近香港老龄化路径
2048,25-34,93.55,高,结构漂移[假设]；总量级贴近香港老龄化路径
2048,35-44,109.76,高,结构漂移[假设]；总量级贴近香港老龄化路径
2048,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2048,55-64,111.36,高,结构漂移[假设]；总量级贴近香港老龄化路径
2048,65+,244.83,高,结构漂移[假设]；总量级贴近香港老龄化路径
2049,15-24,61.59,高,结构漂移[假设]；总量级贴近香港老龄化路径
2049,25-34,93.4,高,结构漂移[假设]；总量级贴近香港老龄化路径
2049,35-44,109.65,高,结构漂移[假设]；总量级贴近香港老龄化路径
2049,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2049,55-64,111.81,高,结构漂移[假设]；总量级贴近香港老龄化路径
2049,65+,250.12,高,结构漂移[假设]；总量级贴近香港老龄化路径
2050,15-24,61.39,高,结构漂移[假设]；总量级贴近香港老龄化路径
2050,25-34,93.25,高,结构漂移[假设]；总量级贴近香港老龄化路径
2050,35-44,109.54,高,结构漂移[假设]；总量级贴近香港老龄化路径
2050,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2050,55-64,112.26,高,结构漂移[假设]；总量级贴近香港老龄化路径
2050,65+,255.52,高,结构漂移[假设]；总量级贴近香港老龄化路径
2051,15-24,61.19,高,结构漂移[假设]；总量级贴近香港老龄化路径
2051,25-34,93.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2051,35-44,109.43,高,结构漂移[假设]；总量级贴近香港老龄化路径
2051,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2051,55-64,112.7,高,结构漂移[假设]；总量级贴近香港老龄化路径
2051,65+,261.04,高,结构漂移[假设]；总量级贴近香港老龄化路径
2052,15-24,61.0,高,结构漂移[假设]；总量级贴近香港老龄化路径
2052,25-34,92.95,高,结构漂移[假设]；总量级贴近香港老龄化路径
2052,35-44,109.32,高,结构漂移[假设]；总量级贴近香港老龄化路径
2052,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2052,55-64,113.16,高,结构漂移[假设]；总量级贴近香港老龄化路径
2052,65+,266.68,高,结构漂移[假设]；总量级贴近香港老龄化路径
2053,15-24,60.8,高,结构漂移[假设]；总量级贴近香港老龄化路径
2053,25-34,92.8,高,结构漂移[假设]；总量级贴近香港老龄化路径
2053,35-44,109.21,高,结构漂移[假设]；总量级贴近香港老龄化路径
2053,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2053,55-64,113.61,高,结构漂移[假设]；总量级贴近香港老龄化路径
2053,65+,272.44,高,结构漂移[假设]；总量级贴近香港老龄化路径
2054,15-24,60.61,高,结构漂移[假设]；总量级贴近香港老龄化路径
2054,25-34,92.65,高,结构漂移[假设]；总量级贴近香港老龄化路径
2054,35-44,109.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2054,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2054,55-64,114.06,高,结构漂移[假设]；总量级贴近香港老龄化路径
2054,65+,278.33,高,结构漂移[假设]；总量级贴近香港老龄化路径
2055,15-24,60.42,高,结构漂移[假设]；总量级贴近香港老龄化路径
2055,25-34,92.5,高,结构漂移[假设]；总量级贴近香港老龄化路径
2055,35-44,108.99,高,结构漂移[假设]；总量级贴近香港老龄化路径
2055,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2055,55-64,114.52,高,结构漂移[假设]；总量级贴近香港老龄化路径
2055,65+,284.34,高,结构漂移[假设]；总量级贴近香港老龄化路径
2056,15-24,60.22,高,结构漂移[假设]；总量级贴近香港老龄化路径
2056,25-34,92.36,高,结构漂移[假设]；总量级贴近香港老龄化路径
2056,35-44,108.88,高,结构漂移[假设]；总量级贴近香港老龄化路径
2056,45-54,107.1,高,结构漂移[假设]；总量级贴近香港老龄化路径
2056,55-64,114.98,高,结构漂移[假设]；总量级贴近香港老龄化路径
2056,65+,290.48,高,结构漂移[假设]；总量级贴近香港老龄化路径
