年份,基金类型,年率化净回报率,年率化净回报率_百分比,情景,配置权重_中枢,来源或假设
2026,保守基金,0.025,2.5,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2027,股票基金,0.102,10.2,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2027,混合资产基金,0.072,7.2,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2027,DIS核心累积基金,0.079,7.9,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2027,保守基金,0.032,3.2,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2028,股票基金,0.1048,10.48,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2028,混合资产基金,0.0748,7.48,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2028,DIS核心累积基金,0.0818,8.18,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2028,保守基金,0.0348,3.48,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2029,股票基金,0.1018,10.18,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2029,混合资产基金,0.0718,7.18,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2029,DIS核心累积基金,0.0788,7.88,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2029,保守基金,0.0318,3.18,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2030,股票基金,0.0946,9.46,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2030,混合资产基金,0.0646,6.46,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2030,DIS核心累积基金,0.0716,7.16,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2030,保守基金,0.0246,2.46,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2031,股票基金,0.0874,8.74,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2031,混合资产基金,0.0574,5.74,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2031,DIS核心累积基金,0.0644,6.44,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2031,保守基金,0.0174,1.74,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2032,股票基金,0.0844,8.44,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2032,混合资产基金,0.0544,5.44,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2032,DIS核心累积基金,0.0614,6.14,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2032,保守基金,0.0144,1.44,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2033,股票基金,0.0872,8.72,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2033,混合资产基金,0.0572,5.72,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2033,DIS核心累积基金,0.0642,6.42,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2033,保守基金,0.0172,1.72,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2034,股票基金,0.0942,9.42,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2034,混合资产基金,0.0642,6.42,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2034,DIS核心累积基金,0.0712,7.12,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2034,保守基金,0.0242,2.42,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2035,股票基金,0.1012,10.12,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2035,混合资产基金,0.0712,7.12,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2035,DIS核心累积基金,0.0782,7.82,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2035,保守基金,0.0312,3.12,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2036,股票基金,0.104,10.4,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2036,混合资产基金,0.074,7.4,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2036,DIS核心累积基金,0.081,8.1,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2036,保守基金,0.034,3.4,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2037,股票基金,0.101,10.1,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2037,混合资产基金,0.071,7.1,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2037,DIS核心累积基金,0.078,7.8,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2037,保守基金,0.031,3.1,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2038,股票基金,0.0938,9.38,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2038,混合资产基金,0.0638,6.38,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2038,DIS核心累积基金,0.0708,7.08,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2038,保守基金,0.0238,2.38,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2039,股票基金,0.0866,8.66,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2039,混合资产基金,0.0566,5.66,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2039,DIS核心累积基金,0.0636,6.36,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2039,保守基金,0.0166,1.66,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2040,股票基金,0.0836,8.36,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2040,混合资产基金,0.0536,5.36,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2040,DIS核心累积基金,0.0606,6.06,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2040,保守基金,0.0136,1.36,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2041,股票基金,0.0864,8.64,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2041,混合资产基金,0.0564,5.64,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2041,DIS核心累积基金,0.0634,6.34,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2041,保守基金,0.0164,1.64,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2042,股票基金,0.0934,9.34,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2042,混合资产基金,0.0634,6.34,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2042,DIS核心累积基金,0.0704,7.04,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2042,保守基金,0.0234,2.34,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2043,股票基金,0.1004,10.04,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2043,混合资产基金,0.0704,7.04,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2043,DIS核心累积基金,0.0774,7.74,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2043,保守基金,0.0304,3.04,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2044,股票基金,0.1032,10.32,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2044,混合资产基金,0.0732,7.32,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2044,DIS核心累积基金,0.0802,8.02,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2044,保守基金,0.0332,3.32,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2045,股票基金,0.1002,10.02,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2045,混合资产基金,0.0702,7.02,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2045,DIS核心累积基金,0.0772,7.72,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2045,保守基金,0.0302,3.02,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2046,股票基金,0.093,9.3,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2046,混合资产基金,0.063,6.3,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2046,DIS核心累积基金,0.07,7.0,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2046,保守基金,0.023,2.3,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2047,股票基金,0.0858,8.58,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2047,混合资产基金,0.0558,5.58,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2047,DIS核心累积基金,0.0628,6.28,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2047,保守基金,0.0158,1.58,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2048,股票基金,0.0828,8.28,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2048,混合资产基金,0.0528,5.28,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2048,DIS核心累积基金,0.0598,5.98,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2048,保守基金,0.0128,1.28,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2049,股票基金,0.0856,8.56,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2049,混合资产基金,0.0556,5.56,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2049,DIS核心累积基金,0.0626,6.26,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2049,保守基金,0.0156,1.56,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2050,股票基金,0.0926,9.26,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2050,混合资产基金,0.0626,6.26,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2050,DIS核心累积基金,0.0696,6.96,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2050,保守基金,0.0226,2.26,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2051,股票基金,0.0996,9.96,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2051,混合资产基金,0.0696,6.96,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2051,DIS核心累积基金,0.0766,7.66,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2051,保守基金,0.0296,2.96,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2052,股票基金,0.1024,10.24,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2052,混合资产基金,0.0724,7.24,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2052,DIS核心累积基金,0.0794,7.94,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2052,保守基金,0.0324,3.24,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2053,股票基金,0.0994,9.94,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2053,混合资产基金,0.0694,6.94,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2053,DIS核心累积基金,0.0764,7.64,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2053,保守基金,0.0294,2.94,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2054,股票基金,0.0922,9.22,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2054,混合资产基金,0.0622,6.22,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2054,DIS核心累积基金,0.0692,6.92,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2054,保守基金,0.0222,2.22,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2055,股票基金,0.085,8.5,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2055,混合资产基金,0.055,5.5,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2055,DIS核心累积基金,0.062,6.2,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2055,保守基金,0.015,1.5,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2056,股票基金,0.082,8.2,高,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2056,混合资产基金,0.052,5.2,高,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2056,DIS核心累积基金,0.059,5.9,高,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2056,保守基金,0.012,1.2,高,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
