年份,情景,提取理由,提取人数或宗数_万,占该类金额比例,人均或单笔金额_港元,年提取金额_亿港元,真实或假设,来源或假设
2045,低,丧失行为能力/绝密等,,0.08,,2.23,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2045,低,合计_总提取,10.0531,1.0,203376.0,232.33,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2046,低,退休_一笔过,9.5416,0.947,208460.0,198.9,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2046,低,退休_分期或其他形式,0.534,0.053,208460.0,11.13,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2046,低,永久离港,,0.45,,12.89,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2046,低,提早退休,,0.2,,5.73,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2046,低,死亡,,0.15,,4.3,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2046,低,小额结余,,0.12,,3.44,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2046,低,丧失行为能力/绝密等,,0.08,,2.29,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2046,低,合计_总提取,10.0756,1.0,208460.0,238.68,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2047,低,退休_一笔过,9.4889,0.947,213672.0,202.75,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2047,低,退休_分期或其他形式,0.5311,0.053,213672.0,11.35,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2047,低,永久离港,,0.45,,13.14,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2047,低,提早退休,,0.2,,5.84,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2047,低,死亡,,0.15,,4.38,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2047,低,小额结余,,0.12,,3.5,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2047,低,丧失行为能力/绝密等,,0.08,,2.34,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2047,低,合计_总提取,10.0199,1.0,213672.0,243.29,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2048,低,退休_一笔过,9.4374,0.947,219013.0,206.69,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2048,低,退休_分期或其他形式,0.5282,0.053,219013.0,11.57,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2048,低,永久离港,,0.45,,13.39,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2048,低,提早退休,,0.2,,5.95,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2048,低,死亡,,0.15,,4.46,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2048,低,小额结余,,0.12,,3.57,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2048,低,丧失行为能力/绝密等,,0.08,,2.38,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2048,低,合计_总提取,9.9656,1.0,219013.0,248.02,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2049,低,退休_一笔过,9.3872,0.947,224489.0,210.73,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2049,低,退休_分期或其他形式,0.5254,0.053,224489.0,11.79,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2049,低,永久离港,,0.45,,13.65,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2049,低,提早退休,,0.2,,6.07,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2049,低,死亡,,0.15,,4.55,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2049,低,小额结余,,0.12,,3.64,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2049,低,丧失行为能力/绝密等,,0.08,,2.43,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2049,低,合计_总提取,9.9126,1.0,224489.0,252.87,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2050,低,退休_一笔过,9.3382,0.947,230101.0,214.87,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2050,低,退休_分期或其他形式,0.5226,0.053,230101.0,12.03,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2050,低,永久离港,,0.45,,13.92,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2050,低,提早退休,,0.2,,6.19,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2050,低,死亡,,0.15,,4.64,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2050,低,小额结余,,0.12,,3.71,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2050,低,丧失行为能力/绝密等,,0.08,,2.48,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2050,低,合计_总提取,9.8608,1.0,230101.0,257.84,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2051,低,退休_一笔过,9.2904,0.947,235854.0,219.12,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2051,低,退休_分期或其他形式,0.5199,0.053,235854.0,12.26,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2051,低,永久离港,,0.45,,14.2,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2051,低,提早退休,,0.2,,6.31,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2051,低,死亡,,0.15,,4.73,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2051,低,小额结余,,0.12,,3.79,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2051,低,丧失行为能力/绝密等,,0.08,,2.52,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2051,低,合计_总提取,9.8103,1.0,235854.0,262.93,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2052,低,退休_一笔过,9.2278,0.947,241750.0,223.08,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2052,低,退休_分期或其他形式,0.5164,0.053,241750.0,12.49,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2052,低,永久离港,,0.45,,14.46,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2052,低,提早退休,,0.2,,6.42,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2052,低,死亡,,0.15,,4.82,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2052,低,小额结余,,0.12,,3.85,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2052,低,丧失行为能力/绝密等,,0.08,,2.57,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2052,低,合计_总提取,9.7443,1.0,241750.0,267.69,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2053,低,退休_一笔过,9.1658,0.947,247794.0,227.12,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2053,低,退休_分期或其他形式,0.513,0.053,247794.0,12.71,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2053,低,永久离港,,0.45,,14.72,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2053,低,提早退休,,0.2,,6.54,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2053,低,死亡,,0.15,,4.91,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2053,低,小额结余,,0.12,,3.92,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2053,低,丧失行为能力/绝密等,,0.08,,2.62,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2053,低,合计_总提取,9.6788,1.0,247794.0,272.54,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2054,低,退休_一笔过,9.1039,0.947,253988.0,231.23,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2054,低,退休_分期或其他形式,0.5095,0.053,253988.0,12.94,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2054,低,永久离港,,0.45,,14.98,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2054,低,提早退休,,0.2,,6.66,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2054,低,死亡,,0.15,,4.99,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2054,低,小额结余,,0.12,,4.0,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2054,低,丧失行为能力/绝密等,,0.08,,2.66,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2054,低,合计_总提取,9.6134,1.0,253988.0,277.47,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2055,低,退休_一笔过,9.0417,0.947,260338.0,235.39,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2055,低,退休_分期或其他形式,0.506,0.053,260338.0,13.17,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2055,低,永久离港,,0.45,,15.25,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2055,低,提早退休,,0.2,,6.78,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2055,低,死亡,,0.15,,5.08,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2055,低,小额结余,,0.12,,4.07,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2055,低,丧失行为能力/绝密等,,0.08,,2.71,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2055,低,合计_总提取,9.5477,1.0,260338.0,282.46,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2056,低,退休_一笔过,8.9786,0.947,266847.0,239.59,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2056,低,退休_分期或其他形式,0.5025,0.053,266847.0,13.41,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2056,低,永久离港,,0.45,,15.53,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2056,低,提早退休,,0.2,,6.9,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2056,低,死亡,,0.15,,5.18,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2056,低,小额结余,,0.12,,4.14,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2056,低,丧失行为能力/绝密等,,0.08,,2.76,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2056,低,合计_总提取,9.4811,1.0,266847.0,287.5,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2026,中,退休_一笔过,11.7655,0.947,127217.0,149.68,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2026,中,退休_分期或其他形式,0.6585,0.053,127217.0,8.38,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2026,中,永久离港,,0.45,,9.7,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,中,提早退休,,0.2,,4.31,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,中,死亡,,0.15,,3.23,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,中,小额结余,,0.12,,2.59,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,中,丧失行为能力/绝密等,,0.08,,1.72,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,中,合计_总提取,12.424,1.0,127217.0,179.61,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2027,中,退休_一笔过,11.5315,0.947,132306.0,152.57,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2027,中,退休_分期或其他形式,0.6454,0.053,132306.0,8.54,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2027,中,永久离港,,0.45,,9.89,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,中,提早退休,,0.2,,4.39,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,中,死亡,,0.15,,3.3,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,中,小额结余,,0.12,,2.64,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,中,丧失行为能力/绝密等,,0.08,,1.76,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,中,合计_总提取,12.1769,1.0,132306.0,183.08,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2028,中,退休_一笔过,11.3068,0.947,137598.0,155.58,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2028,中,退休_分期或其他形式,0.6328,0.053,137598.0,8.71,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2028,中,永久离港,,0.45,,10.08,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,中,提早退休,,0.2,,4.48,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,中,死亡,,0.15,,3.36,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,中,小额结余,,0.12,,2.69,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,中,丧失行为能力/绝密等,,0.08,,1.79,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,中,合计_总提取,11.9396,1.0,137598.0,186.69,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2029,中,退休_一笔过,11.0912,0.947,143102.0,158.72,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2029,中,退休_分期或其他形式,0.6207,0.053,143102.0,8.88,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2029,中,永久离港,,0.45,,10.28,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,中,提早退休,,0.2,,4.57,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,中,死亡,,0.15,,3.43,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,中,小额结余,,0.12,,2.74,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,中,丧失行为能力/绝密等,,0.08,,1.83,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2029,中,合计_总提取,11.712,1.0,143102.0,190.46,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2030,中,退休_一笔过,10.8847,0.947,148826.0,161.99,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2030,中,退休_分期或其他形式,0.6092,0.053,148826.0,9.07,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2030,中,永久离港,,0.45,,10.5,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,中,提早退休,,0.2,,4.67,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,中,死亡,,0.15,,3.5,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,中,小额结余,,0.12,,2.8,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,中,丧失行为能力/绝密等,,0.08,,1.87,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2030,中,合计_总提取,11.4939,1.0,148826.0,194.38,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2031,中,退休_一笔过,10.687,0.947,154779.0,165.41,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2031,中,退休_分期或其他形式,0.5981,0.053,154779.0,9.26,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2031,中,永久离港,,0.45,,10.72,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,中,提早退休,,0.2,,4.76,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,中,死亡,,0.15,,3.57,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,中,小额结余,,0.12,,2.86,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,中,丧失行为能力/绝密等,,0.08,,1.91,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2031,中,合计_总提取,11.2851,1.0,154779.0,198.49,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2032,中,退休_一笔过,10.7058,0.947,160970.0,172.33,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2032,中,退休_分期或其他形式,0.5992,0.053,160970.0,9.64,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2032,中,永久离港,,0.45,,11.17,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,中,提早退休,,0.2,,4.96,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,中,死亡,,0.15,,3.72,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,中,小额结余,,0.12,,2.98,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,中,丧失行为能力/绝密等,,0.08,,1.99,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2032,中,合计_总提取,11.305,1.0,160970.0,206.79,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2033,中,退休_一笔过,10.7301,0.947,167409.0,179.63,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2033,中,退休_分期或其他形式,0.6005,0.053,167409.0,10.05,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2033,中,永久离港,,0.45,,11.64,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,中,提早退休,,0.2,,5.17,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,中,死亡,,0.15,,3.88,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,中,小额结余,,0.12,,3.1,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,中,丧失行为能力/绝密等,,0.08,,2.07,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2033,中,合计_总提取,11.3306,1.0,167409.0,215.55,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2034,中,退休_一笔过,10.7597,0.947,174105.0,187.33,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2034,中,退休_分期或其他形式,0.6022,0.053,174105.0,10.48,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2034,中,永久离港,,0.45,,12.14,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2034,中,提早退休,,0.2,,5.4,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2034,中,死亡,,0.15,,4.05,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
