年份,提取理由,金额_亿港元,占其他提取比例,占全部提取比例,情景,情景标签,来源或假设
2042,永久离港,17.6958,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,丧失行为能力_末期_死亡,10.6175,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,抵销遣散费_长期服务金,17.6958,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,其他合计,70.7832,1.0,0.12,中,基准,总提取的10%–15%取12%
2043,提早退休,26.2036,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,永久离港,18.7169,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,丧失行为能力_末期_死亡,11.2301,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,抵销遣散费_长期服务金,18.7169,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,其他合计,74.8676,1.0,0.12,中,基准,总提取的10%–15%取12%
2044,提早退休,27.6927,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,永久离港,19.7805,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,丧失行为能力_末期_死亡,11.8683,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,抵销遣散费_长期服务金,19.7805,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,其他合计,79.122,1.0,0.12,中,基准,总提取的10%–15%取12%
2045,提早退休,29.2454,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,永久离港,20.8896,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,丧失行为能力_末期_死亡,12.5338,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,抵销遣散费_长期服务金,20.8896,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,其他合计,83.5583,1.0,0.12,中,基准,总提取的10%–15%取12%
2046,提早退休,30.8663,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,永久离港,22.0474,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,丧失行为能力_末期_死亡,13.2284,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,抵销遣散费_长期服务金,22.0474,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,其他合计,88.1894,1.0,0.12,中,基准,总提取的10%–15%取12%
2047,提早退休,32.3042,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,永久离港,23.0745,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,丧失行为能力_末期_死亡,13.8447,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,抵销遣散费_长期服务金,23.0745,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,其他合计,92.2978,1.0,0.12,中,基准,总提取的10%–15%取12%
2048,提早退休,33.7817,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,永久离港,24.1298,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,丧失行为能力_末期_死亡,14.4779,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,抵销遣散费_长期服务金,24.1298,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,其他合计,96.5192,1.0,0.12,中,基准,总提取的10%–15%取12%
2049,提早退休,35.3004,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,永久离港,25.2146,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,丧失行为能力_末期_死亡,15.1287,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,抵销遣散费_长期服务金,25.2146,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,其他合计,100.8583,1.0,0.12,中,基准,总提取的10%–15%取12%
2050,提早退休,36.8621,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,永久离港,26.3301,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,丧失行为能力_末期_死亡,15.798,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,抵销遣散费_长期服务金,26.3301,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,其他合计,105.3202,1.0,0.12,中,基准,总提取的10%–15%取12%
2051,提早退休,38.4685,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,永久离港,27.4775,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,丧失行为能力_末期_死亡,16.4865,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,抵销遣散费_长期服务金,27.4775,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,其他合计,109.9101,1.0,0.12,中,基准,总提取的10%–15%取12%
2052,提早退休,40.0565,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,永久离港,28.6118,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,丧失行为能力_末期_死亡,17.1671,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,抵销遣散费_长期服务金,28.6118,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,其他合计,114.4471,1.0,0.12,中,基准,总提取的10%–15%取12%
2053,提早退休,41.6857,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,永久离港,29.7755,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,丧失行为能力_末期_死亡,17.8653,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,抵销遣散费_长期服务金,29.7755,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,其他合计,119.102,1.0,0.12,中,基准,总提取的10%–15%取12%
2054,提早退休,43.3548,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,永久离港,30.9677,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,丧失行为能力_末期_死亡,18.5806,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,抵销遣散费_长期服务金,30.9677,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,其他合计,123.8709,1.0,0.12,中,基准,总提取的10%–15%取12%
2055,提早退休,45.0622,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,永久离港,32.1873,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,丧失行为能力_末期_死亡,19.3124,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,抵销遣散费_长期服务金,32.1873,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,其他合计,128.7492,1.0,0.12,中,基准,总提取的10%–15%取12%
2056,提早退休,46.8058,0.35,0.042,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,永久离港,33.4327,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,丧失行为能力_末期_死亡,20.0596,0.15,0.018,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,抵销遣散费_长期服务金,33.4327,0.25,0.03,中,基准,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,其他合计,133.7308,1.0,0.12,中,基准,总提取的10%–15%取12%
2026,提早退休,9.4524,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,永久离港,6.7517,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,丧失行为能力_末期_死亡,4.051,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,抵销遣散费_长期服务金,6.7517,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,其他合计,27.0068,1.0,0.12,高,乐观,总提取的10%–15%取12%
2027,提早退休,10.2534,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,永久离港,7.3239,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,丧失行为能力_末期_死亡,4.3943,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,抵销遣散费_长期服务金,7.3239,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,其他合计,29.2954,1.0,0.12,高,乐观,总提取的10%–15%取12%
2028,提早退休,11.0894,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,永久离港,7.921,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,丧失行为能力_末期_死亡,4.7526,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,抵销遣散费_长期服务金,7.921,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,其他合计,31.6841,1.0,0.12,高,乐观,总提取的10%–15%取12%
2029,提早退休,11.9634,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,永久离港,8.5453,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,丧失行为能力_末期_死亡,5.1272,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,抵销遣散费_长期服务金,8.5453,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,其他合计,34.1812,1.0,0.12,高,乐观,总提取的10%–15%取12%
2030,提早退休,12.8786,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,永久离港,9.199,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,丧失行为能力_末期_死亡,5.5194,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,抵销遣散费_长期服务金,9.199,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,其他合计,36.796,1.0,0.12,高,乐观,总提取的10%–15%取12%
2031,提早退休,13.8384,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,永久离港,9.8846,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,丧失行为能力_末期_死亡,5.9307,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,抵销遣散费_长期服务金,9.8846,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,其他合计,39.5382,1.0,0.12,高,乐观,总提取的10%–15%取12%
2032,提早退休,15.1402,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,永久离港,10.8145,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,丧失行为能力_末期_死亡,6.4887,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,抵销遣散费_长期服务金,10.8145,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,其他合计,43.2578,1.0,0.12,高,乐观,总提取的10%–15%取12%
2033,提早退休,16.54,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,永久离港,11.8143,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,丧失行为能力_末期_死亡,7.0886,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,抵销遣散费_长期服务金,11.8143,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2033,其他合计,47.2572,1.0,0.12,高,乐观,总提取的10%–15%取12%
2034,提早退休,18.0456,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,永久离港,12.8897,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,丧失行为能力_末期_死亡,7.7338,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,抵销遣散费_长期服务金,12.8897,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2034,其他合计,51.559,1.0,0.12,高,乐观,总提取的10%–15%取12%
2035,提早退休,19.6656,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,永久离港,14.0469,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,丧失行为能力_末期_死亡,8.4281,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,抵销遣散费_长期服务金,14.0469,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2035,其他合计,56.1875,1.0,0.12,高,乐观,总提取的10%–15%取12%
2036,提早退休,21.3969,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,永久离港,15.2835,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,丧失行为能力_末期_死亡,9.1701,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,抵销遣散费_长期服务金,15.2835,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2036,其他合计,61.134,1.0,0.12,高,乐观,总提取的10%–15%取12%
2037,提早退休,23.0507,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,永久离港,16.4648,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,丧失行为能力_末期_死亡,9.8789,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,抵销遣散费_长期服务金,16.4648,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2037,其他合计,65.859,1.0,0.12,高,乐观,总提取的10%–15%取12%
2038,提早退休,24.7785,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,永久离港,17.6989,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,丧失行为能力_末期_死亡,10.6194,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,抵销遣散费_长期服务金,17.6989,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2038,其他合计,70.7957,1.0,0.12,高,乐观,总提取的10%–15%取12%
2039,提早退休,26.5838,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,永久离港,18.9884,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,丧失行为能力_末期_死亡,11.3931,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,抵销遣散费_长期服务金,18.9884,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2039,其他合计,75.9537,1.0,0.12,高,乐观,总提取的10%–15%取12%
2040,提早退休,28.4701,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,永久离港,20.3358,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,丧失行为能力_末期_死亡,12.2015,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,抵销遣散费_长期服务金,20.3358,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2040,其他合计,81.3432,1.0,0.12,高,乐观,总提取的10%–15%取12%
2041,提早退休,30.4411,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,永久离港,21.7437,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,丧失行为能力_末期_死亡,13.0462,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,抵销遣散费_长期服务金,21.7437,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2041,其他合计,86.9747,1.0,0.12,高,乐观,总提取的10%–15%取12%
2042,提早退休,32.7141,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,永久离港,23.3672,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,丧失行为能力_末期_死亡,14.0203,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,抵销遣散费_长期服务金,23.3672,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2042,其他合计,93.4689,1.0,0.12,高,乐观,总提取的10%–15%取12%
2043,提早退休,35.1262,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,永久离港,25.0901,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,丧失行为能力_末期_死亡,15.0541,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,抵销遣散费_长期服务金,25.0901,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2043,其他合计,100.3604,1.0,0.12,高,乐观,总提取的10%–15%取12%
2044,提早退休,37.6883,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,永久离港,26.9202,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,丧失行为能力_末期_死亡,16.1521,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,抵销遣散费_长期服务金,26.9202,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2044,其他合计,107.6808,1.0,0.12,高,乐观,总提取的10%–15%取12%
2045,提早退休,40.4125,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,永久离港,28.8661,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,丧失行为能力_末期_死亡,17.3196,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,抵销遣散费_长期服务金,28.8661,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2045,其他合计,115.4642,1.0,0.12,高,乐观,总提取的10%–15%取12%
2046,提早退休,43.3117,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,永久离港,30.937,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,丧失行为能力_末期_死亡,18.5622,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,抵销遣散费_长期服务金,30.937,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2046,其他合计,123.7479,1.0,0.12,高,乐观,总提取的10%–15%取12%
2047,提早退休,46.0356,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,永久离港,32.8825,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,丧失行为能力_末期_死亡,19.7295,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,抵销遣散费_长期服务金,32.8825,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2047,其他合计,131.5302,1.0,0.12,高,乐观,总提取的10%–15%取12%
2048,提早退休,48.8967,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,永久离港,34.9262,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,丧失行为能力_末期_死亡,20.9557,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,抵销遣散费_长期服务金,34.9262,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2048,其他合计,139.705,1.0,0.12,高,乐观,总提取的10%–15%取12%
2049,提早退休,51.9033,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,永久离港,37.0738,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,丧失行为能力_末期_死亡,22.2443,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,抵销遣散费_长期服务金,37.0738,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2049,其他合计,148.2952,1.0,0.12,高,乐观,总提取的10%–15%取12%
2050,提早退休,55.0638,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,永久离港,39.3313,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,丧失行为能力_末期_死亡,23.5988,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,抵销遣散费_长期服务金,39.3313,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2050,其他合计,157.3252,1.0,0.12,高,乐观,总提取的10%–15%取12%
2051,提早退休,58.3874,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,永久离港,41.7053,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,丧失行为能力_末期_死亡,25.0232,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,抵销遣散费_长期服务金,41.7053,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2051,其他合计,166.821,1.0,0.12,高,乐观,总提取的10%–15%取12%
2052,提早退休,61.7829,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,永久离港,44.1306,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,丧失行为能力_末期_死亡,26.4784,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,抵销遣散费_长期服务金,44.1306,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2052,其他合计,176.5226,1.0,0.12,高,乐观,总提取的10%–15%取12%
2053,提早退休,65.3456,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,永久离港,46.6754,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,丧失行为能力_末期_死亡,28.0052,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,抵销遣散费_长期服务金,46.6754,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2053,其他合计,186.7017,1.0,0.12,高,乐观,总提取的10%–15%取12%
2054,提早退休,69.0801,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,永久离港,49.3429,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,丧失行为能力_末期_死亡,29.6058,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,抵销遣散费_长期服务金,49.3429,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2054,其他合计,197.3717,1.0,0.12,高,乐观,总提取的10%–15%取12%
2055,提早退休,72.9906,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,永久离港,52.1362,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,丧失行为能力_末期_死亡,31.2817,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,抵销遣散费_长期服务金,52.1362,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2055,其他合计,208.5447,1.0,0.12,高,乐观,总提取的10%–15%取12%
2056,提早退休,77.0807,0.35,0.042,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,永久离港,55.0577,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,丧失行为能力_末期_死亡,33.0346,0.15,0.018,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,抵销遣散费_长期服务金,55.0577,0.25,0.03,高,乐观,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2056,其他合计,220.2307,1.0,0.12,高,乐观,总提取的10%–15%取12%
