年份,性别,新达65岁人数_人,实际提取比例,人均账户余额_万港元,退休提取人数_人,退休提取金额_亿港元,情景,情景标签,来源或假设
2052,混合,112164.8,1.0,74.8255,112164.8,839.2789,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,男,54406.0,1.0,78.1664,54406.0,425.2723,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,女,57331.8,1.0,78.1664,57331.8,448.1421,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,混合,111737.9,1.0,78.1664,111737.9,873.4144,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,男,54421.8,1.0,81.609,54421.8,444.1308,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,女,56887.8,1.0,81.609,56887.8,464.256,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,混合,111309.6,1.0,81.609,111309.6,908.3868,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,男,54433.5,1.0,85.1571,54433.5,463.5397,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,女,56439.4,1.0,85.1571,56439.4,480.6212,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,混合,110872.8,1.0,85.1571,110872.8,944.1609,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,男,54437.7,1.0,88.8145,54437.7,483.4858,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,女,55982.6,1.0,88.8145,55982.6,497.2069,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,混合,110420.3,1.0,88.8145,110420.3,980.6928,中,基准,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2026,男,56300.0,1.0,15.9409,56300.0,89.7473,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2026,女,67940.0,1.0,15.9409,67940.0,108.3025,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2026,混合,124240.0,1.0,15.9409,124240.0,198.0499,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,男,54726.1,1.0,17.6426,54726.1,96.5512,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,女,67043.2,1.0,17.6426,67043.2,118.2818,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,混合,121769.2,1.0,17.6426,121769.2,214.833,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,男,53210.8,1.0,19.4604,53210.8,103.5502,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,女,66185.5,1.0,19.4604,66185.5,128.7996,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,混合,119396.3,1.0,19.4604,119396.3,232.3498,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,男,51753.0,1.0,21.4022,51753.0,110.7628,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,女,65366.8,1.0,21.4022,65366.8,139.8994,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,混合,117119.8,1.0,21.4022,117119.8,250.6623,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,男,50351.7,1.0,23.4767,50351.7,118.2089,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,女,64586.8,1.0,23.4767,64586.8,151.6282,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,混合,114938.5,1.0,23.4767,114938.5,269.8371,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,男,49005.9,1.0,25.6929,49005.9,125.9101,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,女,63845.2,1.0,25.6929,63845.2,164.0368,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,混合,112851.1,1.0,25.6929,112851.1,289.9469,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2032,男,49202.0,1.0,28.0606,49202.0,138.0637,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2032,女,63847.6,1.0,28.0606,63847.6,179.1602,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2032,混合,113049.6,1.0,28.0606,113049.6,317.2239,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,男,49428.4,1.0,30.5856,49428.4,151.1797,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,女,63877.5,1.0,30.5856,63877.5,195.3731,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2033,混合,113305.8,1.0,30.5856,113305.8,346.5528,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,男,49684.7,1.0,33.2777,49684.7,165.3393,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,女,63934.6,1.0,33.2777,63934.6,212.7598,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2034,混合,113619.3,1.0,33.2777,113619.3,378.099,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,男,49970.7,1.0,36.1473,49970.7,180.6304,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,女,64018.9,1.0,36.1473,64018.9,231.411,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2035,混合,113989.6,1.0,36.1473,113989.6,412.0414,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,男,50286.0,1.0,39.1829,50286.0,197.0353,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,女,64130.2,1.0,39.1829,64130.2,251.2807,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2036,混合,114416.2,1.0,39.1829,114416.2,448.3159,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,男,50217.3,1.0,42.3723,50217.3,212.7823,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,女,63764.2,1.0,42.3723,63764.2,270.1837,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2037,混合,113981.6,1.0,42.3723,113981.6,482.966,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,男,50147.9,1.0,45.7255,50147.9,229.3034,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,女,63392.5,1.0,45.7255,63392.5,289.8652,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2038,混合,113540.4,1.0,45.7255,113540.4,519.1686,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,男,50077.6,1.0,49.2512,50077.6,246.6382,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,女,63014.9,1.0,49.2512,63014.9,310.3559,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2039,混合,113092.4,1.0,49.2512,113092.4,556.9941,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,男,50006.4,1.0,52.9589,50006.4,264.8283,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,女,62631.3,1.0,52.9589,62631.3,331.6884,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2040,混合,112637.7,1.0,52.9589,112637.7,596.5168,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,男,49934.2,1.0,56.8584,49934.2,283.9178,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,女,62241.7,1.0,56.8584,62241.7,353.8963,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2041,混合,112175.9,1.0,56.8584,112175.9,637.8142,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,男,50468.2,1.0,60.9602,50468.2,307.6553,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,女,61972.1,1.0,60.9602,61972.1,377.783,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2042,混合,112440.3,1.0,60.9602,112440.3,685.4383,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,男,51027.7,1.0,65.2693,51027.7,333.0539,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,女,61732.4,1.0,65.2693,61732.4,402.9226,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2043,混合,112760.1,1.0,65.2693,112760.1,735.9765,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,男,51614.1,1.0,69.7959,51614.1,360.2452,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,女,61524.2,1.0,69.7959,61524.2,429.4141,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2044,混合,113138.3,1.0,69.7959,113138.3,789.6594,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,男,52228.8,1.0,74.5511,52228.8,389.3719,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,女,61349.3,1.0,74.5511,61349.3,457.3659,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2045,混合,113578.1,1.0,74.5511,113578.1,846.7378,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,男,52873.4,1.0,79.5462,52873.4,420.5882,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,女,61209.2,1.0,79.5462,61209.2,486.896,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2046,混合,114082.6,1.0,79.5462,114082.6,907.4843,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,男,53157.5,1.0,84.7931,53157.5,450.7383,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,女,60596.5,1.0,84.7931,60596.5,513.8162,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2047,混合,113754.0,1.0,84.7931,113754.0,964.5545,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,男,53449.8,1.0,90.3113,53449.8,482.7122,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,女,59991.5,1.0,90.3113,59991.5,541.7908,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2048,混合,113441.3,1.0,90.3113,113441.3,1024.5031,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,男,53750.4,1.0,96.116,53750.4,516.627,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,女,59394.0,1.0,96.116,59394.0,570.871,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2049,混合,113144.4,1.0,96.116,113144.4,1087.498,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,男,54059.2,1.0,102.2228,54059.2,552.6077,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,女,58804.0,1.0,102.2228,58804.0,601.1108,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2050,混合,112863.2,1.0,102.2228,112863.2,1153.7184,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,男,54376.1,1.0,108.6484,54376.1,590.7873,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,女,58221.5,1.0,108.6484,58221.5,632.5668,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2051,混合,112597.5,1.0,108.6484,112597.5,1223.3541,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2052,男,54389.7,1.0,115.4105,54389.7,627.7136,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2052,女,57775.1,1.0,115.4105,57775.1,666.7851,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2052,混合,112164.8,1.0,115.4105,112164.8,1294.4988,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,男,54406.0,1.0,122.5319,54406.0,666.6477,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,女,57331.8,1.0,122.5319,57331.8,702.4978,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2053,混合,111737.9,1.0,122.5319,111737.9,1369.1455,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,男,54421.8,1.0,130.033,54421.8,707.6629,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,女,56887.8,1.0,130.033,56887.8,739.7298,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2054,混合,111309.6,1.0,130.033,111309.6,1447.3926,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,男,54433.5,1.0,137.9353,54433.5,750.8297,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,女,56439.4,1.0,137.9353,56439.4,778.4979,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2055,混合,110872.8,1.0,137.9353,110872.8,1529.3277,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,男,54437.7,1.0,146.2616,54437.7,796.2145,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,女,55982.6,1.0,146.2616,55982.6,818.8107,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2056,混合,110420.3,1.0,146.2616,110420.3,1615.0252,高,乐观,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
